orbit_lengths	representatives
2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,16,16	131
2,2,4,4,8,8,8,12,24,24,24	131
8,12,16,36,48	131
2,4,12,18,24,24,36	130
16,24,32,48	129
1,1,2,2,2,4,4,8,8,8,8,8,32,32	128
1,1,2,4,8,8,8,8,16,32,32	126
12,12,24,72	126
2,2,2,2,2,2,4,4,4,4,4,8,8,8,8,8,8,8,16,16	126
2,2,2,2,4,4,4,4,4,4,4,4,8,8,64	126
4,4,4,12,96	126
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,16,16,16,16	125
1,1,1,1,4,8,8,32,32,32	124
2,2,8,12,32,32,32	124
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8	124
2,2,2,2,2,2,2,2,4,4,8,8,8,8,16,16,16,16	123
2,2,2,2,2,2,4,8,8,8,16,16,16,16,16	123
120	122
2,2,2,2,2,2,4,8,8,8,8,8,8,8,8,8,16,16	122
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8	122
1,1,1,1,2,2,8,8,8,8,8,8,32,32	121
1,1,1,1,4,8,8,16,16,16,16,32	121
2,4,6,6,12,12,12,12,18,36	121
4,4,4,4,4,12,12,12,16,16,16,16	121
1,1,1,1,4,4,4,4,4,16,16,32,32	119
12,12,32,64	119
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8	119
8,8,12,12,24,24,32	119
1,1,1,1,2,2,8,8,16,16,32,32	118
4,4,4,12,32,64	118
4,4,4,4,4,4,4,4,4,4,4,4,4,4,32,32	118
2,12,12,12,18,64	117
2,6,12,12,24,32,32	112
4,4,8,8,8,8,8,8,8,8,16,32	112
1,1,1,1,2,2,4,4,8,8,8,8,8,16,16,16,16	109
2,12,18,24,32,32	109
4,4,24,24,64	109
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16	108
2,2,4,4,4,4,8,8,12,12,12,24,24	108
4,4,4,4,4,4,8,8,8,8,8,8,16,32	108
2,2,4,4,4,4,4,4,4,4,4,8,8,16,16,16,16	107
12,12,32,32,32	105
2,2,2,2,2,2,4,4,4,4,4,8,8,8,16,16,16,16	105
8,8,8,48,48	104
2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,16,16,16	103
