rep_id	order	composition_factor_count	is_abelian	is_nonabelian_simple	structure
1522	129600	2	false	false	
1523	138240	9	false	false	
1544	2688	5	false	false	
1561	7680	8	false	false	
1562	7680	8	false	false	
1564	12096	2	false	false	
1565	12096	2	false	false	
1566	12096	2	false	false	
1580	21504	8	false	false	
1581	21504	8	false	false	
1582	21504	8	false	false	
1583	23040	7	false	false	
1584	23040	7	false	false	
1585	23040	7	false	false	
1628	15360	9	false	false	
1630	21504	8	false	false	
1631	21504	8	false	false	
1632	21504	8	false	false	
1633	21504	8	false	false	
1634	21504	8	false	false	
1635	21504	8	false	false	
1636	21504	8	false	false	
1637	21504	8	false	false	
1649	30720	10	false	false	
1652	46080	10	false	false	
1677	86016	10	false	false	
1678	86016	10	false	false	
1679	86016	10	false	false	
1680	92160	9	false	false	
1681	92160	9	false	false	
1682	92160	9	false	false	
1683	92160	9	false	false	
1684	92160	9	false	false	
1685	92160	9	false	false	
1686	92160	9	false	false	
1687	92160	9	false	false	
1688	92160	9	false	false	
1689	92160	9	false	false	
1690	92160	9	false	false	
1691	92160	9	false	false	
1692	92160	9	false	false	
1693	92160	9	false	false	
1694	92160	9	false	false	
1698	122880	12	false	false	
1699	122880	12	false	false	
1700	122880	12	false	false	
1701	122880	12	false	false	
1702	122880	12	false	false	
1703	184320	12	false	false	
1704	184320	12	false	false	
1705	184320	12	false	false	
1706	245760	13	false	false	
1707	245760	13	false	false	
1708	245760	13	false	false	
1709	245760	13	false	false	
1710	245760	13	false	false	
1711	245760	13	false	false	
1712	245760	13	false	false	
1713	245760	13	false	false	
1714	245760	13	false	false	
1715	322560	8	false	false	
1716	322560	8	false	false	
1717	322560	8	false	false	
1718	368640	13	false	false	
1719	368640	13	false	false	
1737	737280	12	false	false	
1738	1290240	7	false	false	
1739	1658880	7	false	false	
1871	60	1	false	true	A5
1872	60	1	false	true	A5
1873	60	1	false	true	A5
2094	60	1	false	true	A5
2155	120	2	false	false	
2156	120	2	false	false	
2206	180	2	false	false	
2207	180	2	false	false	
2269	240	3	false	false	
2270	240	3	false	false	
2271	240	3	false	false	
2272	240	3	false	false	
2273	240	3	false	false	
2274	240	3	false	false	
2275	240	3	false	false	
2276	240	3	false	false	
2277	240	3	false	false	
2278	240	3	false	false	
2279	240	3	false	false	
2360	360	3	false	false	
2361	360	3	false	false	
2362	360	3	false	false	
2363	360	3	false	false	
2364	360	3	false	false	
2365	360	3	false	false	
2366	360	3	false	false	
2439	240	3	false	false	
2461	360	3	false	false	
2462	360	3	false	false	
2463	360	3	false	false	
2569	480	4	false	false	
2570	480	4	false	false	
2571	480	4	false	false	
2572	480	4	false	false	
2573	480	4	false	false	
2574	480	4	false	false	
